,Territory,County,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS,overall_coverage_pct,Opportunity Score
109,CENTRAL,LAIKIPIA,handwash,SAWA,12.34,9.71e-05,8.09e-05,50.01920131,0.284724437,14.24168892,5.22,13.498272758375998
110,CENTRAL,LAIKIPIA,lotion,BELLEZA,435.668625,0.129541208,0.054759192,50.01920131,0.245890565,12.29924968,5.22,11.657228846704001
111,CENTRAL,LAIKIPIA,lotion,FRESCO,192.7340625,0.084295864,0.034625295,50.01920131,0.144533293,7.229439902,5.22,6.8520631391156
112,CENTRAL,LAIKIPIA,margarine,ONJA,170.75,0.037618074,0.03864871,95.89977833,0.143489254,13.76058766,5.22,13.042284984148
113,CENTRAL,LAIKIPIA,milking jelly,SAWA,700.5112778,0.005540612,0.004591723,68.53715579,0.170163813,11.66254373,5.22,11.053758947294
114,CENTRAL,LAIKIPIA,oil,FRESH FRI,7050.981,0.039940672,0.025579287,44.40835361,0.114477726,5.083767338,5.22,4.8183946829564
115,CENTRAL,LAIKIPIA,oil,POPCO,780.494,0.006538966,0.004421654,44.00430178,0.010043337,0.441950043,5.22,0.41888025075540003
116,CENTRAL,LAIKIPIA,oil,SALIT,14394.66617,0.05967959,0.012761356,33.57641678,0.05967959,2.003826779,5.22,1.8992270211362001
117,CENTRAL,LAIKIPIA,petroleum jelly,SAWA,74.12,0.000585793,0.000485843,68.53715579,0.302359882,20.72288634,5.22,19.641151673051997
118,CENTRAL,LAIKIPIA,toilet soap,SAWA,4374.4375,0.034601748,0.028673633,43.84369783,0.1235969,5.418945114,5.22,5.1360761790491996
119,CENTRAL,MACHAKOS,bar soap,NDUME,220.0,0.000510037,0.000298326,10.97780161,0.000510037,0.005599081,28.11,0.0040251793308999995
120,CENTRAL,MACHAKOS,bar soap,USHINDI,134.0,0.003730632,0.001839397,58.4682421,0.010788811,0.630802816,28.11,0.4534841444224
121,CENTRAL,MACHAKOS,bar soap,WHITEWASH,41.375,0.000171716,0.000352167,42.318709,0.001401881,0.059325812,28.11,0.0426493262468
122,CENTRAL,MACHAKOS,bathing soap,DETREX,31.18,0.000473814,0.001046963,66.28906039,0.002736682,0.181412068,28.11,0.1304171356852
123,CENTRAL,MACHAKOS,bathing soap,SAWA,15.925,0.000125464,0.000104385,43.84369783,0.004583175,0.20094332,28.11,0.144458152748
